DMF command 232 at 63789504200927.3502 ms : clrel 0 135
DMF command 233 at 63789504201052.0354 ms : setel 0 240
DMF command 234 at 63789504201178.8989 ms : clrel 0 250
DMF command 235 at 63789504201303.8701 ms : setel 0 230
DMF command 236 at 63789504201366.6732 ms : clrel 0 240
DMF command 237 at 63789504201491.3273 ms : setel 0 220
DMF command 238 at 63789504201616.9858 ms : clrel 0 230
DMF command 239 at 63789504201741.619 ms : setel 0 210
DMF command 240 at 63789504201804.4296 ms : clrel 0 220
DMF command 241 at 63789504201929.1031 ms : setel 0 200
DMF command 242 at 63789504202054.3918 ms : clrel 0 210
DMF command 243 at 63789504202179.3244 ms : setel 0 210
DMF command 244 at 63789504202304.341 ms : clrel 0 200
DMF command 245 at 63789504202428.9851 ms : setel 0 220
DMF command 246 at 63789504202554.2858 ms : clrel 0 210
DMF command 247 at 63789504202679.225 ms : setel 0 230
DMF command 248 at 63789504202741.3868 ms : clrel 0 220
DMF command 249 at 63789504202882.294 ms : setel 0 240
DMF command 250 at 63789504203007.0716 ms : clrel 0 230
DMF command 251 at 63789504203069.703 ms : setel 0 250
DMF command 252 at 63789504203194.7183 ms : clrel 0 240
DMF command 253 at 63789504203321.5091 ms : setel 0 135
DMF command 254 at 63789504203446.1674 ms : clrel 0 250
DMF command 255 at 63789504203508.6736 ms : setel 0 145
DMF command 256 at 63789504203649.5594 ms : clrel 0 135
DMF command 257 at 63789504203774.2186 ms : setel 0 155
DMF command 258 at 63789504203899.1862 ms : clrel 0 145
DMF command 259 at 63789504204024.1281 ms : setel 0 165
DMF command 260 at 63789504204149.4552 ms : clrel 0 155
DMF command 261 at 63789504204274.0691 ms : setel 0 175
DMF command 262 at 63789504204336.8666 ms : clrel 0 165
DMF command 263 at 63789504204461.8666 ms : setel 0 185
DMF command 264 at 63789504204586.526 ms : clrel 0 175
DMF command 265 at 63789504204649.3219 ms : setel 0 67
DMF command 266 at 63789504204773.9503 ms : clrel 0 185
DMF command 267 at 63789504204899.2605 ms : setel 0 185
DMF command 268 at 63789504205023.8914 ms : clrel 0 67
DMF command 269 at 63789504205148.8926 ms : setel 0 175
DMF command 270 at 63789504205273.834 ms : clrel 0 185
